1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
113,88,26,78,22,92,49,120,43,26,24,0,0,22,0,55,59,22,22,0,34,20,3,57,58,85,0,107,108,74,23,94,75,129,26,35,31,13,37,150
127,142,66,104,48,163,66,146,106,85,50,0,0,34,0,56,118,57,56,0,67,52,49,62,81,121,0,149,170,148,46,112,91,198,66,55,117,42,58,194
171,214,101,115,76,186,84,204,150,115,116,0,0,47,0,75,205,110,86,0,126,119,52,95,163,,77,182,198,190,112,124,143,379,95,80,306,51,111,215
209,315,134,143,96,258,103,247,198,165,143,0,0,61,0,95,239,142,122,0,167,146,92,119,204,,102,221,248,231,116,142,161,426,133,101,392,81,132,254
243,0,151,182,101,269,120,278,251,217,187,0,0,73,0,153,238,151,161,0,226,214,101,198,260,,135,258,265,258,169,154,189,483,244,126,407,85,0,280
281,0,206,204,142,347,138,328,287,256,239,0,0,84,0,177,319,194,188,0,249,239,290,221,288,,158,297,323,314,188,172,201,542,278,147,493,116,0,319
327,325,226,228,167,462,149,360,337,277,279,0,0,100,0,229,367,196,228,0,319,,0,288,340,,206,327,332,344,245,186,249,612,316,171,508,122,248,345
358,379,268,259,189,533,168,407,394,329,333,0,0,111,0,241,402,232,260,0,340,,0,318,377,,238,357,400,392,264,202,270,659,362,191,576,151,263,384
399,384,289,301,196,554,170,441,439,350,382,0,0,126,0,0,436,243,295,0,405,,0,383,400,,261,377,445,406,313,214,287,703,388,216,631,155,317,410
444,421,325,308,236,628,192,487,521,401,424,0,0,136,0,0,481,453,325,0,436,,0,415,459,,294,428,605,463,337,230,301,748,425,236,717,185,319,449
470,435,355,,249,735,198,515,,419,475,0,0,152,0,381,597,0,376,0,480,,0,474,512,,297,445,0,480,407,246,320,804,454,262,732,200,368,475
507,486,388,,282,817,220,562,,499,521,0,0,164,0,395,632,0,396,0,525,,0,509,552,,323,486,0,551,419,264,345,866,491,282,818,220,383,514
512,552,424,,291,833,230,677,,,572,0,0,176,0,0,668,0,440,0,545,,295,565,575,,335,507,613,569,464,279,383,910,521,308,855,222,488,553
566,605,452,,343,914,248,720,,,616,0,0,198,0,0,716,0,473,0,575,,343,606,624,,360,544,681,607,488,295,401,957,558,329,939,254,503,579
582,619,489,,358,1028,260,754,,,672,0,0,211,0,0,750,0,501,0,590,,357,663,661,,376,612,,670,511,309,424,1028,590,354,987,256,528,605
622,653,526,,377,1105,280,803,,,705,0,0,230,0,0,787,0,542,0,619,,387,696,710,,400,650,,716,514,328,438,1073,623,381,1032,288,543,656
,719,549,,390,1123,295,830,,,744,0,0,245,0,638,828,0,576,0,662,,388,759,741,,421,673,,739,559,344,485,1114,719,399,1093,303,568,670
,779,585,,426,1202,312,875,,,804,0,0,261,0,646,867,0,615,0,711,,440,799,785,,447,704,,800,584,359,499,1159,758,421,1138,315,583,709
,789,622,,452,1313,330,,,,857,0,0,275,0,0,979,508,,0,772,,454,843,,,452,747,,801,632,374,523,1205,787,446,1186,325,608,735
,838,652,,470,1402,341,,,,894,0,0,286,0,0,1025,541,,0,802,,489,880,,,460,776,,863,662,391,537,1249,824,465,1244,356,623,774
,849,677,,480,1419,,,,,954,0,0,301,0,0,1056,555,,0,864,,496,947,,,506,817,,927,699,400,589,0,931,491,1304,359,648,800
,894,715,,521,1499,,,,,988,0,0,315,0,0,1099,673,,0,895,,544,977,,,533,859,,980,702,423,609,0,973,511,1349,391,663,839
,959,744,,550,1617,,,,,1034,0,0,331,0,,1130,0,,0,960,,,1032,,,567,897,,1008,746,438,664,0,1085,536,1402,394,688,865
,1012,779,,565,1707,,,,,1083,0,0,345,0,,1181,0,,0,985,,,1069,,,586,930,,1072,765,455,686,0,1122,557,1470,422,703,904
,1033,807,,587,1714,,,,,1129,0,,357,,,1225,0,,0,1045,,,1132,,,612,1034,,1119,784,464,706,,1231,582,0,427,728,930
,1077,845,,614,1804,,,,,1178,0,,370,,,1264,0,,0,1079,,,1162,,,645,1065,,1185,808,489,734,,1278,602,0,459,743,969
,1095,870,,640,1924,,,,,1230,0,,383,,,1376,686,,,1142,,,1189,,,647,,,1247,,501,,,1314,627,,462,851,995
,1134,908,,661,2018,,,,,1263,0,,394,,,1415,823,,,1170,,,1208,,,669,,,1272,,518,,,1351,646,,493,852,1034
,1156,932,,,2033,,,,,,0,,408,,,1446,0,,,1233,,,1225,,,695,,,1300,,528,,,1379,718,,,908,1060
,1197,970,,,2126,,,,,,0,,427,,,1496,0,,,1263,,,1267,,,729,,,1353,,553,,,1429,739,,,923,1099
,1206,999,,,2242,,,,,,0,,,,,1534,0,,,1324,,,1321,,,755,,,,,564,,,,764,,,968,1138
,1260,1034,,,2346,,,,,,0,,,,,1575,0,,,1352,,,1353,,,733,,,,,582,,,,784,,,983,1164
,1261,1138,,,2359,,,,,,0,,,,,1597,824,,,1404,,,1416,,,,,,,,593,,,,810,,,1028,1190
,1319,1158,,,2461,,,,,,0,,,,,1654,866,,,1437,,,1446,,,,,,,,614,,,,830,,,1030,1229
,1335,1201,,,2583,,,,,,0,,,,,1681,911,,,1503,,,0,,,,,,,,630,,,,856,,,1088,1255
,1382,1214,,,2687,,,,,,0,,,,,1739,947,,,1535,,,0,,,,,,,,646,,,,877,,,1103,1294
,,,,,2701,,,,,,0,,,,,1757,957,,,1578,,,,,,,,,,,660,,,,895,,,1128,1320
,,,,,2905,,,,,,0,,,,,1821,993,,,1626,,,,,,,,,,,677,,,,921,,,1143,1359
,,,,,0,,,,,,0,,,,,,1003,,,1685,,,,,,,,,,,692,,,,946,,,1168,1385
,,,,,0,,,,,,0,,,,,,1040,,,1713,,,,,,,,,,,709,,,,965,,,1183,1424
,,,,,,,,,,,0,,,,,,1044,,,,,,,,,,,,,,751,,,,992,,,1208,1450
,,,,,,,,,,,0,,,,,,1085,,,,,,,,,,,,,,785,,,,1012,,,1223,1489
,,,,,,,,,,,0,,,,,,1090,,,,,,,,,,,,,,795,,,,1037,,,1248,1528
,,,,,,,,,,,0,,,,,,1222,,,,,,,,,,,,,,818,,,,1056,,,1263,1554
,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,1083,,,1288,1593
,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,1104,,,1298,1619
,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,1129,,,1328,1645
,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,1149,,,1343,1684
,,,,,,,,,,,0,,,,,,1273,,,,,,,,,,,,,,,,,,1174,,,1448,1710
,,,,,,,,,,,0,,,,,,1301,,,,,,,,,,,,,,,,,,1193,,,1465,1749
,,,,,,,,,,,,,,,,,1315,,,,,,,,,,,,,,,,,,1219,,,1508,1775
,,,,,,,,,,,,,,,,,1343,,,,,,,,,,,,,,,,,,1240,,,1524,1814
,,,,,,,,,,,,,,,,,1356,,,,,,,,,,,,,,,,,,,,,1548,1840
,,,,,,,,,,,,,,,,,1397,,,,,,,,,,,,,,,,,,,,,1565,1879
,,,,,,,,,,,,,,,,,1399,,,,,,,,,,,,,,,,,,,,,1588,1905
,,,,,,,,,,,,,,,,,1435,,,,,,,,,,,,,,,,,,,,,1603,1944
,,,,,,,,,,,,,,,,,1441,,,,,,,,,,,,,,,,,,,,,,1970
,,,,,,,,,,,,,,,,,1485,,,,,,,,,,,,,,,,,,,,,,2009
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2074
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2139
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2165
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2230
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2269
